COL_HEADERS|freq|s11|
1.000000e+09,6.921088e-01-3.458105e-01j
1.060000e+09,6.748363e-01-3.547330e-01j
1.120000e+09,6.578641e-01-3.627962e-01j
1.180000e+09,6.412268e-01-3.701186e-01j
1.240000e+09,6.249414e-01-3.768187e-01j
1.300000e+09,6.090075e-01-3.830142e-01j
1.360000e+09,5.934082e-01-3.888220e-01j
1.420000e+09,5.781088e-01-3.943574e-01j
1.480000e+09,5.630559e-01-3.997347e-01j
1.540000e+09,5.481747e-01-4.050670e-01j
1.600000e+09,5.333647e-01-4.104655e-01j
1.660000e+09,5.184936e-01-4.160380e-01j
1.720000e+09,5.033885e-01-4.218850e-01j
1.780000e+09,4.878245e-01-4.280919e-01j
1.840000e+09,4.715093e-01-4.347151e-01j
1.900000e+09,4.540664e-01-4.417555e-01j
1.960000e+09,4.350186e-01-4.491151e-01j
2.020000e+09,4.137837e-01-4.565252e-01j
2.080000e+09,3.897015e-01-4.634391e-01j
2.140000e+09,3.621371e-01-4.688910e-01j
2.200000e+09,3.307195e-01-4.713642e-01j
2.260000e+09,2.957681e-01-4.687915e-01j
2.320000e+09,2.588352e-01-4.589166e-01j
2.380000e+09,2.230045e-01-4.402014e-01j
2.440000e+09,1.923457e-01-4.130230e-01j
2.500000e+09,1.703478e-01-3.802161e-01j
2.560000e+09,1.582871e-01-3.461348e-01j
2.620000e+09,1.548938e-01-3.147812e-01j
2.680000e+09,1.574299e-01-2.884823e-01j
2.740000e+09,1.630612e-01-2.677975e-01j
2.800000e+09,1.696385e-01-2.521612e-01j
2.860000e+09,1.758375e-01-2.405653e-01j
2.920000e+09,1.809816e-01-2.319820e-01j
2.980000e+09,1.848086e-01-2.255423e-01j
3.040000e+09,1.872868e-01-2.205748e-01j
3.100000e+09,1.884977e-01-2.165841e-01j
3.160000e+09,1.885680e-01-2.132130e-01j
3.220000e+09,1.876348e-01-2.102064e-01j
3.280000e+09,1.858286e-01-2.073819e-01j
3.340000e+09,1.832664e-01-2.046081e-01j
3.400000e+09,1.800504e-01-2.017890e-01j
3.460000e+09,1.762684e-01-1.988535e-01j
3.520000e+09,1.719953e-01-1.957470e-01j
3.580000e+09,1.672953e-01-1.924270e-01j
3.640000e+09,1.622239e-01-1.888586e-01j
3.700000e+09,1.568295e-01-1.850126e-01j
3.760000e+09,1.511548e-01-1.808635e-01j
3.820000e+09,1.452385e-01-1.763881e-01j
3.880000e+09,1.391159e-01-1.715652e-01j
3.940000e+09,1.328204e-01-1.663746e-01j
4.000000e+09,1.263837e-01-1.607970e-01j
